zeri,itatti,score
85671.jpg,1040781,96.0
85674.jpg,1040781,28.0
85677.jpg,1041261,59.0
85677.jpg,1041271,46.0
85677.jpg,1041251,28.0
85678.jpg,1041261,46.0
85678.jpg,1041171,38.0
85678.jpg,1041271,34.0
85678.jpg,1041231,26.0
85682.jpg,1018831,49.0
85682.jpg,1018811,47.0
85701.jpg,1041021,25.0
85702.jpg,1040951,42.0
85705.jpg,1041011,26.0
85705.jpg,1041021,25.0
85707.jpg,1041431,30.0
85708.jpg,1041431,46.0
85717.jpg,1041121,119.0
85717.jpg,1041111,80.0
85717.jpg,1041061,30.0
85718.jpg,1041111,89.0
85718.jpg,1041121,87.0
85723.jpg,1041111,28.0
85723.jpg,1041121,28.0
85770.jpg,1041501,89.0
85773.jpg,1040711,27.0
85784.jpg,1036231,28.0
85785.jpg,1036231,28.0
85785.jpg,1046101,26.0
85786.jpg,1036231,25.0
85818.jpg,1036181,25.0
85819.jpg,1036181,35.0
85820.jpg,1048621,50.0
85820.jpg,1116621,32.0
85954.jpg,1036131,92.0
85981.jpg,1036051,56.0
85981.jpg,1036081,37.0
85983.jpg,1036081,33.0
85983.jpg,1036051,25.0
85984.jpg,1036081,55.0
85984.jpg,1036061,45.0
85985.jpg,1036061,28.0
85986.jpg,1036081,25.0
86019.jpg,1036261,38.0
86020.jpg,1036261,54.0
86021.jpg,1036261,26.0
86052.jpg,1098601,25.0
86053.jpg,1060781,89.0
86100.jpg,1035991,37.0
86101.jpg,1035991,43.0
86102.jpg,1035991,90.0
86102.jpg,1036001,49.0
86125.jpg,1060721,116.0
86125.jpg,1060731,77.0
86126.jpg,1060721,127.0
86126.jpg,1060731,73.0
86127.jpg,1060721,78.0
86127.jpg,1060731,36.0
86128.jpg,1060721,80.0
86128.jpg,1060731,46.0
86129.jpg,1060721,74.0
86129.jpg,1060731,51.0
86131.jpg,1060721,53.0
86131.jpg,1060731,41.0
86133.jpg,1060721,36.0
86153.jpg,1036191,28.0
86156.jpg,1060871,84.0
86156.jpg,1060861,55.0
86156.jpg,1060851,45.0
86157.jpg,1060851,55.0
86157.jpg,1060871,42.0
86157.jpg,1060861,38.0
86213.jpg,1090321,28.0
86227.jpg,1060921,48.0
86228.jpg,1060921,44.0
86245.jpg,1061111,38.0
86264.jpg,1060811,51.0
86264.jpg,1060791,25.0
86273.jpg,1060821,27.0
86280.jpg,1060801,43.0
86281.jpg,1060801,53.0
86313.jpg,1060701,46.0
86331.jpg,1016501,34.0
86337.jpg,1044491,68.0
86354.jpg,1039891,34.0
86367.jpg,1044191,39.0
86499.jpg,1039891,56.0
86499.jpg,1039901,40.0
86502.jpg,1037651,29.0
86502.jpg,1110371,27.0
86502.jpg,1106831,26.0
86513.jpg,1039631,128.0
86524.jpg,1060891,44.0
86554.jpg,1016711,62.0
86555.jpg,1016711,47.0
86556.jpg,1016711,64.0
86557.jpg,1016711,35.0
86558.jpg,1016711,44.0
86565.jpg,1046071,124.0
86579.jpg,1045851,32.0
86682.jpg,1045901,66.0
86683.jpg,1045901,37.0
86987.jpg,1046721,47.0
87322.jpg,1076431,25.0
87324.jpg,1021051,55.0
87452.jpg,1037571,41.0
87460.jpg,1002301,53.0
87466.jpg,1044631,30.0
87466.jpg,1040721,27.0
87467.jpg,1041391,56.0
87468.jpg,1041391,63.0
87469.jpg,1037641,27.0
87470.jpg,1037641,29.0
87477.jpg,1044631,25.0
87481.jpg,1037541,35.0
87488.jpg,1007541,43.0
87726.jpg,1072681,105.0
87743.jpg,1030521,27.0
88749.jpg,1025981,27.0
88878.jpg,1040651,36.0
88879.jpg,1040651,59.0
88937.jpg,1078521,71.0
89022.jpg,1022711,48.0
89022.jpg,1022631,35.0
89415.jpg,1078241,25.0
89416.jpg,1078241,28.0
89560.jpg,1041401,85.0
89873.jpg,1044141,84.0
89873.jpg,1044151,55.0
89874.jpg,1044151,81.0
89874.jpg,1044141,67.0
89954.jpg,1012681,54.0
90169.jpg,1039261,26.0
90199.jpg,1002461,42.0
90564.jpg,1073271,44.0
90565.jpg,1073271,33.0
90566.jpg,1073271,46.0
90567.jpg,1073271,68.0
90567.jpg,1073281,27.0
90568.jpg,1073271,52.0
90569.jpg,1073271,58.0
90956.jpg,1085351,42.0
90988.jpg,1100471,72.0
90989.jpg,1100481,64.0
91039.jpg,1086371,72.0
91104.jpg,1086371,41.0
91264.jpg,1092201,26.0
91340.jpg,1098111,25.0
91551.jpg,1075981,26.0
91903.jpg,1077881,32.0
91941.jpg,1086541,51.0
91941.jpg,1086501,50.0
91941.jpg,1086511,32.0
91965.jpg,1075561,25.0
91979.jpg,1116931,49.0
92008.jpg,1073781,37.0
92008.jpg,1073791,28.0
92022.jpg,1073841,35.0
92023.jpg,1073841,52.0
92024.jpg,1073841,61.0
92025.jpg,1073841,108.0
92034.jpg,1077921,109.0
92034.jpg,1077931,69.0
92035.jpg,1077921,150.0
92035.jpg,1077931,67.0
92088.jpg,1066491,58.0
92088.jpg,1068141,52.0
92088.jpg,1066591,51.0
92091.jpg,1067461,78.0
92092.jpg,1067461,84.0
92099.jpg,1067281,147.0
92099.jpg,1067311,123.0
92099.jpg,1067291,111.0
92099.jpg,1067301,35.0
92099.jpg,1071681,30.0
92100.jpg,1067301,97.0
92100.jpg,1067281,50.0
92100.jpg,1067311,45.0
92100.jpg,1067291,31.0
92102.jpg,1076791,88.0
92102.jpg,1076801,29.0
92129.jpg,1084451,26.0
92134.jpg,1021131,127.0
92134.jpg,1082841,62.0
92134.jpg,1082811,26.0
92135.jpg,1021131,60.0
92135.jpg,1082841,42.0
92135.jpg,1082811,31.0
92142.jpg,1073151,49.0
92143.jpg,1073151,85.0
92158.jpg,1073611,28.0
92174.jpg,1073571,32.0
92175.jpg,1073571,64.0
92190.jpg,1073331,111.0
92190.jpg,1073341,96.0
92190.jpg,1073321,57.0
92193.jpg,1073411,93.0
92193.jpg,1073451,71.0
92193.jpg,1073421,70.0
92193.jpg,1073431,49.0
92193.jpg,1073401,41.0
92193.jpg,1073441,33.0
92202.jpg,1073061,38.0
92211.jpg,1071151,61.0
92211.jpg,1073061,60.0
92211.jpg,1073101,37.0
92211.jpg,1073091,34.0
92211.jpg,1071171,28.0
92211.jpg,1073111,27.0
92215.jpg,1073501,53.0
92221.jpg,1110571,77.0
92243.jpg,1079171,30.0
92244.jpg,1079171,32.0
92245.jpg,1079171,33.0
92283.jpg,1078691,42.0
92284.jpg,1078691,35.0
92285.jpg,1078691,35.0
92338.jpg,1078411,29.0
92380.jpg,1078651,78.0
92382.jpg,1078691,31.0
92400.jpg,1041381,26.0
92406.jpg,1078561,58.0
92414.jpg,1078391,33.0
92416.jpg,1078401,25.0
92431.jpg,1080601,142.0
92452.jpg,1086611,28.0
92471.jpg,1086251,67.0
92471.jpg,1086241,49.0
