zeriArtist,zeriArtwork,viafArtwork,avg,zeriLabel,viafLabel,include
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,52," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano 1990,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,52," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano 1988,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,67," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,64," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,52," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano 1998,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45149,http://viaf.org/viaf/312331474,57," ""Vecellio Tiziano , Santa Maria Maddalena, san Biagio, Tobia, san Raffaele Arcangelo e donatore"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/45149,http://viaf.org/viaf/312331474,54," ""Vecellio Tiziano , Santa Maria Maddalena, san Biagio, Tobia, san Raffaele Arcangelo e donatore"" ",Tiziano.,
https://w3id.org/zericatalog/person/2776/carucci-iacopo,https://w3id.org/zericatalog/artwork/38492,http://viaf.org/viaf/190463652,61," ""Carucci Iacopo , Ritratto di Alessandro de' Medici che esegue un disegno"" ",Halbfigur des Alessandro de' Medici,Y
https://w3id.org/zericatalog/person/2776/carucci-iacopo,https://w3id.org/zericatalog/artwork/38492,http://viaf.org/viaf/175534072,72," ""Carucci Iacopo , Ritratto di Alessandro de' Medici che esegue un disegno"" ",Alessandro de' Medici,Y
https://w3id.org/zericatalog/person/9583/solario-andrea,https://w3id.org/zericatalog/artwork/34639,http://viaf.org/viaf/314232281,70," ""Solario Andrea , Cleopatra"" ",Andrea Solario,
https://w3id.org/zericatalog/person/9583/solario-andrea,https://w3id.org/zericatalog/artwork/34605,http://viaf.org/viaf/314232281,69," ""Solario Andrea , Cristo deriso"" ",Andrea Solario,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44963,http://viaf.org/viaf/312331474,56," ""Vecellio Tiziano , Ritratto della famiglia Vendramin in adorazione della reliquia della vera croce"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44963,http://viaf.org/viaf/312331474,53," ""Vecellio Tiziano , Ritratto della famiglia Vendramin in adorazione della reliquia della vera croce"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44963,http://viaf.org/viaf/184806503,51," ""Vecellio Tiziano , Ritratto della famiglia Vendramin in adorazione della reliquia della vera croce"" ",Ritratto del singolare amico di Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44416,http://viaf.org/viaf/312331474,64," ""Vecellio Tiziano , San Giovanni Battista"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44416,http://viaf.org/viaf/312331474,61," ""Vecellio Tiziano , San Giovanni Battista"" ",Tiziano.,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/40127,http://viaf.org/viaf/314336182,55," ""Beccafumi Domenico , Sacra Famiglia con san Giovannino"" ",Domenico Beccafumi e il suo tempo,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/40127,http://viaf.org/viaf/314746067,64," ""Beccafumi Domenico , Sacra Famiglia con san Giovannino"" ",Beccafumi,
https://w3id.org/zericatalog/person/8827/robusti-jacopo,https://w3id.org/zericatalog/artwork/46717,http://viaf.org/viaf/190462194,52," ""Robusti Domenico , Lucrezia (?)"" ",Tarquin and Lucretia,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/39689,http://viaf.org/viaf/314336182,51," ""Beccafumi Domenico , Mutua Benevolenza (Concordia)"" , (elemento d'insieme)",Domenico Beccafumi e il suo tempo,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/39689,http://viaf.org/viaf/314746067,61," ""Beccafumi Domenico , Mutua Benevolenza (Concordia)"" , (elemento d'insieme)",Beccafumi,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano 1981,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano 1990,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano 1988,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,66," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,63," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44087,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Trasfigurazione"" ",Tiziano 1998,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44822,http://viaf.org/viaf/312331474,64," ""Vecellio Tiziano , Ritratto di Filippo II"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44822,http://viaf.org/viaf/312331474,61," ""Vecellio Tiziano , Ritratto di Filippo II"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44822,http://viaf.org/viaf/305152018,55," ""Vecellio Tiziano , Ritratto di Filippo II"" ",Ritratto di Domenico Zono,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44822,http://viaf.org/viaf/215960289,57," ""Vecellio Tiziano , Ritratto di Filippo II"" ",Ritratto di Papa Sisto IV,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44822,http://viaf.org/viaf/184806503,52," ""Vecellio Tiziano , Ritratto di Filippo II"" ",Ritratto del singolare amico di Tiziano,
https://w3id.org/zericatalog/person/10244/vasari-giorgio,https://w3id.org/zericatalog/artwork/18359,http://viaf.org/viaf/313704152,59," ""Vasari Giorgio , Giuditta decapita Oloferne"" ",Opere di Giorgio Vasari,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/42456,http://viaf.org/viaf/305152018,53,"Titolo tradizionale ""Ritratto di Lavinia""",Ritratto di Domenico Zono,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/42456,http://viaf.org/viaf/215960289,53,"Titolo tradizionale ""Ritratto di Lavinia""",Ritratto di Papa Sisto IV,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/42456,http://viaf.org/viaf/184806503,54,"Titolo tradizionale ""Ritratto di Lavinia""",Ritratto del singolare amico di Tiziano,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/313788058,52," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Michelangelo: le tombe Medicee,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/313975039,53," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Ricordi di michelangelo,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/313706635,60," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Lettere di Michelangelo Buonarroti,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/310366309,51," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Vita e opere di Michelangelo a Roma,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/310919072,52," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Michelangelo scultore,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/314468217,57," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Michelangelo poeta,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/314289639,53," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Michelangelo : the last judgment,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16587,http://viaf.org/viaf/183476601,52," ""Buonarroti Michelangelo , Mosè e il serpente di bronzo"" , (elemento d'insieme)",Carteggio di michelangelo,
