search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Beets, Nicolaas","Beets, Nicolaas",http://viaf.org/viaf/37068696,,,,,,,,
"Beger, Lorenz","Beger, Lorenz, 1653-1705",http://viaf.org/viaf/56907766,http://id.loc.gov/authorities/names/nr96028499,http://isni.org/isni/0000000121015840,70,100,71,100,"85,25",
"Behne, Adolf","Behne, Adolf",http://viaf.org/viaf/183300,,,,,,,,
"Belknap, Waldron Phoenix, Jr.","Belknap, Waldron Phoenix, 1899-1949",http://viaf.org/viaf/150522201,http://id.loc.gov/authorities/names/no2010156871,http://isni.org/isni/0000000101140249,81,90,78,94,"85,75",
"Bell, Charles F.","Bell, C.F.",http://viaf.org/viaf/24986047,http://id.loc.gov/authorities/names/nr95020042,http://isni.org/isni/0000000004947200,69,70,73,86,"74,5",
"Bell, Clive","Bell, Clive",http://viaf.org/viaf/108900119,,,,,,,,
"Bell, Edward Hamilton","Bell, Hamilton, 1857-1929",http://viaf.org/viaf/16399637,http://id.loc.gov/authorities/names/n91005163,,61,67,60,79,"66,75",
"Bell, Quentin","Bell, Quentin, 1910-1996",http://viaf.org/viaf/4926523,http://id.loc.gov/authorities/names/n50006522,http://isni.org/isni/0000000121184409,74,93,71,100,"84,5",
"Bellori, Giovanni Pietro","Bellori, Giovanni Pietro",http://viaf.org/viaf/100166484,,,,,,,,
"Bellosi, Luciano","Bellosi, Luciano, 1936-2011",http://viaf.org/viaf/120124160,http://id.loc.gov/authorities/names/n84080750,http://isni.org/isni/0000000110334053,74,100,75,100,"87,25",
"Belting, Hans","Belting, Hans, 1935-....",http://viaf.org/viaf/108683383,http://id.loc.gov/authorities/names/n81127188,http://isni.org/isni/0000000108597866,70,100,83,100,"88,25",
"Benavides Rodríguez, Alfredo","Benavides Rodr&#xED;guez, Alfredo, 1894-1959",http://viaf.org/viaf/69020953,http://id.loc.gov/authorities/names/n88192459,http://isni.org/isni/000000008148625X,75,79,69,79,"75,5",
"Bénédite, Léonce","B&#xE9;n&#xE9;dite, L&#xE9;once, 1859-1925",http://viaf.org/viaf/79127846,http://id.loc.gov/authorities/names/n84090022,http://isni.org/isni/0000000080779480,45,62,45,54,"51,5",
"Benesch, Heinrich","Benesch, Heinrich",http://viaf.org/viaf/57592952,,,,,,,,
"Benesch, Otto","Benesch, Otto, 1896-1964",http://viaf.org/viaf/29800494,http://id.loc.gov/authorities/names/n79041766,http://isni.org/isni/0000000110235223,70,100,71,100,"85,25",
"Bénézit, Emmanuel","B&#xE9;n&#xE9;zit, Emmanuel, 1854-1920",http://viaf.org/viaf/24597750,http://id.loc.gov/authorities/names/nr95019628,http://isni.org/isni/0000000110227135,55,76,42,73,"61,5",
"Benjamin, Samuel G. W.","Benjamin, S. G. W.",http://viaf.org/viaf/2851576,http://id.loc.gov/authorities/names/n88630581,http://isni.org/isni/0000000083388725,85,72,85,92,"83,5",
"Benndorf, Otto","Benndorf, Otto","Benndorf, Otto",,,,,,,,
"Béraldi, Henri","B&#xE9;raldi, Henri, 1849-1931",http://viaf.org/viaf/64113338,http://id.loc.gov/authorities/names/n86840072,http://isni.org/isni/0000000110282820,59,86,41,62,62,
"Berenson, Bernard","Berenson, Bernard, 1865-1959.",http://viaf.org/viaf/9878607,http://id.loc.gov/authorities/names/n79021690,http://isni.org/isni/0000000120990222,74,100,76,100,"87,5",
"Berenson, Mary","Berenson, Mary",http://viaf.org/viaf/110269141,,,,,,,,
"Berger, John","Berger, John, 1926-2017",http://viaf.org/viaf/14766158,http://id.loc.gov/authorities/names/n79135220,http://isni.org/isni/0000000122767972,69,100,69,100,"84,5",
"Berger, Klaus","Berger, Klaus, 1940-....",http://viaf.org/viaf/90632174,http://id.loc.gov/authorities/names/n50007437,http://isni.org/isni/0000000121432396,70,100,83,100,"88,25",
"Bergman, Robert P.","Bergman, Robert P., 1945-1999",http://viaf.org/viaf/109271494,http://id.loc.gov/authorities/names/n79116343,http://isni.org/isni/000000011867698X,77,100,76,100,"88,25",
"Bergström, Ingvar","Bergstr&#xF8;m, Ingvar",http://viaf.org/viaf/69815983,http://id.loc.gov/authorities/names/n79117341,http://isni.org/isni/0000000110290134,82,65,80,86,"78,25",
"Berliner, Rudolf","Berliner, Rudolf",http://viaf.org/viaf/68972799,,,,,,,,
"Bernett, Frederick A.","Bernett, Frederick A.",http://viaf.org/viaf/153404649,,,,,,,,
"Bernheimer, Erich","Bernheimer, Erich",http://viaf.org/viaf/15130779,,,,,,,,
"Bernheimer, Richard","Bernheimer, Richard",http://viaf.org/viaf/188848503,,,,,,,,
"Bernoulli, Johann Jacob","Bernoulli, Johann Jakob, 1831-1920",http://viaf.org/viaf/18047061,http://id.loc.gov/authorities/names/n90619336,http://isni.org/isni/000000012095685X,79,92,78,84,"83,25",
"Bertaux, Émile","Bertaux, Émile",http://viaf.org/viaf/32117063,,,,,,,,
"Bertelli, Carlo","Bertelli, Carlo, 1930-....",http://viaf.org/viaf/90108838,http://id.loc.gov/authorities/names/n79111410,http://isni.org/isni/0000000117742359,73,100,85,100,"89,5",
