name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
C. Volpe,"Volpe, Carlo",http://viaf.org/viaf/88782206,http://id.loc.gov/authorities/names/n80001446,http://isni.org/isni/0000000083451771,http://catalogue.bnf.fr/ark:/12148/cb12354574w,http://d-nb.info/gnd/1023048841,,
C.C. Malvasia,"Malvasia, Carlo Cesare, 1616-1693",http://viaf.org/viaf/41912339,http://id.loc.gov/authorities/names/n80032248,http://isni.org/isni/0000000083431551,http://catalogue.bnf.fr/ark:/12148/cb123359039,http://d-nb.info/gnd/122440676,http://www.wikidata.org/entity/Q1160847,https://de.wikipedia.org/wiki/Carlo_Cesare_Malvasia
C.L. Ragghianti,"Ragghianti, Carlo Ludovico",http://viaf.org/viaf/73858957,http://id.loc.gov/authorities/names/n79021740,http://isni.org/isni/000000012281816X,http://catalogue.bnf.fr/ark:/12148/cb11921024h,http://d-nb.info/gnd/119326450,http://www.wikidata.org/entity/Q2939213,https://en.wikipedia.org/wiki/Carlo_Ludovico_Ragghianti
D. Benati,"Benati, Daniele",http://viaf.org/viaf/41872207,http://id.loc.gov/authorities/names/n87896884,http://isni.org/isni/0000000107801976,http://catalogue.bnf.fr/ark:/12148/cb121160546,http://d-nb.info/gnd/132217082,,
D. Bodart,"Bodart, Didier",http://viaf.org/viaf/35985082,http://id.loc.gov/authorities/names/n87905266,http://isni.org/isni/0000000061319649,,http://d-nb.info/gnd/1051757517,,
D. Sanminiatelli,"Sanminiatelli, Domenico",http://viaf.org/viaf/163755136,,http://isni.org/isni/0000000112389656,,,,
D. Von Hadeln,"Hadeln, Detlev &#x98;von&#x9C; 1878-1935",http://viaf.org/viaf/20703571,http://id.loc.gov/authorities/names/nr95033946,http://isni.org/isni/0000000108557872,,http://d-nb.info/gnd/116358033,,
D. von Hadeln,"Hadeln, Detlev &#x98;von&#x9C; 1878-1935",http://viaf.org/viaf/20703571,http://id.loc.gov/authorities/names/nr95033946,http://isni.org/isni/0000000108557872,,http://d-nb.info/gnd/116358033,,
De' Rinaldis,"De Rinaldis, Aldo",http://viaf.org/viaf/66846161,http://id.loc.gov/authorities/names/n90653900,http://isni.org/isni/0000000115733037,,http://d-nb.info/gnd/1055289410,,
Della Pergola,"Della Pergola, Paola",http://viaf.org/viaf/68917731,http://id.loc.gov/authorities/names/nr89003713,http://isni.org/isni/0000000109117131,http://catalogue.bnf.fr/ark:/12148/cb10135453v,http://d-nb.info/gnd/1058257471,,
Drey Gallery,Paul Drey Gallery,http://viaf.org/viaf/268770588,http://id.loc.gov/authorities/names/nr92025078,,,http://d-nb.info/gnd/5511910-4,,
E. Arslan,"Arslan, Edoardo",http://viaf.org/viaf/102323734,http://id.loc.gov/authorities/names/n82027947,http://isni.org/isni/0000000109295288,http://catalogue.bnf.fr/ark:/12148/cb12134605k,http://d-nb.info/gnd/136956211,http://www.wikidata.org/entity/Q4018329,https://hy.wikipedia.org/wiki/\u054e\u0561\u0580\u0564_\u0531\u0580\u057d\u056c\u0561\u0576\u0564
