id,search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg
http://purl.org/emmedi/mauth/itatti/artist/giovenone-gerolamo-born--or--died--italian-artist-,"Giovenone, Gerolamo",Gerolamo Giovenone pintor itali&#xE0;,http://viaf.org/viaf/37775638,http://id.loc.gov/authorities/names/nr91026666,http://isni.org/isni/0000000117587096,43,58,68,100,"67,25"
http://purl.org/emmedi/mauth/itatti/artist/carolis-jacobus-de-active-th-century-italian-artist,"Carolis, Jacobus de",,http://viaf.org/viaf/96095681,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/pontormo-jacopo-da--italian-artist-follower-of,"Pontormo, Jacopo da",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/girolamo-da-treviso-the-younger--italian-artist,"Girolamo da Treviso, the younger","Girolamo, da Treviso, 1498-1544",http://viaf.org/viaf/95730747,http://id.loc.gov/authorities/names/no2012068145,http://isni.org/isni/0000000116903827,67,68,63,79,"69,25"
http://purl.org/emmedi/mauth/itatti/artist/bronzino-agnolo--italian-artist-follower-of,"Bronzino, Agnolo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/cock-hieronymus--flemish-printmaker,"Cock, Hieronymus  printmaker","Cock, Hieronymus, 1510?-1570",http://viaf.org/viaf/76325072,http://id.loc.gov/authorities/names/n85307905,http://isni.org/isni/0000000118624119,61,61,59,75,64
http://purl.org/emmedi/mauth/itatti/artist/perugino-ca-italian-artist-imitator-of,Perugino,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/traini-francesco--artist,"Traini, Francesco",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/berlinghieri-bonaventura-ac-italian-artist-near,"Berlinghieri, Bonaventura",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/raffaellino-del-garbo-c-italian-artist-school-of,Raffaellino del Garbo,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/ghirlandaio-domenico--italian-artist-attributed-to,"Ghirlandaio, Domenico",,http://viaf.org/viaf/61554420,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/campi-giulio-ca--italian-artist-circle-of,"Campi, Giulio",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/credi-lorenzo-di-ca-italian-artist,"Credi, Lorenzo di","Lorenzo di Credi, 1459?-1537",http://viaf.org/viaf/64277987,http://id.loc.gov/authorities/names/nr91030668,http://isni.org/isni/0000000116591309,44,59,76,100,"69,75"
http://purl.org/emmedi/mauth/itatti/artist/jacobello-del-fiore-italian-painter-active--died--artist,Jacobello del Fiore,,http://viaf.org/viaf/50366363,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/pisanello-antonio-ca-italian-artist-near,"Pisanello, Antonio",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/ross-denman-waldo--american-artist,"Ross, Denman Waldo","Ross, Denman Waldo, 1853-1935",http://viaf.org/viaf/24510333,http://id.loc.gov/authorities/names/nr97041458,http://isni.org/isni/000000011046363X,77,100,77,100,"88,5"
http://purl.org/emmedi/mauth/itatti/artist/uccello-paolo--italian-artist-attributed-to,"Uccello, Paolo",,http://viaf.org/viaf/39395712,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/jacopo-di-antonello-ca-before--italian-artist,Jacopo di Antonello,,http://viaf.org/viaf/95868412,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/ugolino-di-nerio-italian-painter-active-early-th-century-painter-artist-attributed-tomaster-of-monte-oliveto-italian-painter-active-ca-ca--painter-artist,Ugolino di Nerio  painter  |Master of Monte Oliveto  painter,,http://viaf.org/viaf/95730832,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/hey-jean-ac-ca--ca-flemish-artist,"Hey, Jean",Meister von Moulins 1480-1500,http://viaf.org/viaf/65306105,http://id.loc.gov/authorities/names/n80081639,http://isni.org/isni/0000000082516385,16,33,16,16,"20,25"
http://purl.org/emmedi/mauth/itatti/artist/bonsignori-stefano-artist-near,"Bonsignori, Stefano,",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/allori-alessandro--italian-artist-school-of,"Allori, Alessandro",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/lotto-lorenzo-ca--italian-artist-,"Lotto, Lorenzo","Lotto, Lorenzo, 1480?-1556?",http://viaf.org/viaf/22165049,http://id.loc.gov/authorities/names/n50042418,http://isni.org/isni/0000000123200265,68,100,72,100,85
http://purl.org/emmedi/mauth/itatti/artist/bernabei-tommaso-ca--italian-artist-,"Bernabei, Tommaso",,http://viaf.org/viaf/95827705,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/boccaccino-camillo--italian-artist-attributed-to,"Boccaccino, Camillo","Boccaccino, Camillo, 1504-1546",http://viaf.org/viaf/50120335,http://id.loc.gov/authorities/names/nr91034903,http://isni.org/isni/0000000066827183,78,100,78,100,89
http://purl.org/emmedi/mauth/itatti/artist/ghirlandaio-david-artist-circle-of,"Ghirlandaio, David,",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/antonio-da-fabriano-ac-italian-artist,Antonio da Fabriano,,http://viaf.org/viaf/316438921,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/fontana-lavinia--italian-artist-attributed-to,"Fontana, Lavinia","Fontana, Lavinia, 1552-1614",http://viaf.org/viaf/46951878,http://id.loc.gov/authorities/names/n90703924,http://isni.org/isni/0000000083797406,74,100,75,100,"87,25"
http://purl.org/emmedi/mauth/itatti/artist/maestro-di-san-martino-alfieri-italian-artist-attributed-to,Maestro di San Martino Alfieri,,http://viaf.org/viaf/77378742,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/lorenzetti-pietro-ac-by-ca-italian-artist-formerly-attributed-to,"Lorenzetti, Pietro",,http://viaf.org/viaf/172313064,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/veronese-paolo--italian-artist-workshop-of,"Veronese, Paolo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mombello-luca-born--active--italian-artist,"Mombello, Luca",,http://viaf.org/viaf/95823694,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/edelinck-gerard--flemish-engraver,"Edelinck, Gérard  engraver","Edelinck, G&#xE9;rard, 1640-1707",http://viaf.org/viaf/56679310,http://id.loc.gov/authorities/names/n87898831,http://isni.org/isni/0000000123207846,55,62,58,58,"58,25"
http://purl.org/emmedi/mauth/itatti/artist/donnino-di-domenico-di-donnino-ca---italian-artist,Donnino di Domenico di Donnino,,http://viaf.org/viaf/96225259,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/roberti-ercole-de-ca--italian-artist-formerly-attr-to-workshop-of,"Roberti, Ercole de'",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-ferrara-th-century-italian-artist-formerly-attributed-to,"Anonymous painter of Ferrara, 15th century",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/botticelli-sandro-born--or--died--italian-artist-imitator-of,"Botticelli, Sandro",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-liguria-th-century-italian-artist,"Anonymous painter of Liguria, 14th century",,,,,,,,,
